"","Source","Target","Match ID","Row number","Quarter","Match time (s)","club","PI"
"1",294674,270896,98150101,15,1,37,"Richmond","kickIn"
"2",270737,294592,98150101,40,1,118,"Richmond","hitout"
"3",294592,270737,98150101,43,1,121,"Richmond","handballEffective"
"4",270737,290847,98150101,46,1,122,"Richmond","handballEffective"
"5",290198,280819,98150101,58,1,152,"Richmond","kickEffective"
"6",293713,250312,98150101,67,1,170,"Richmond","handballEffective"
"7",250312,280819,98150101,69,1,172,"Richmond","kickEffective"
"8",293713,261362,98150101,81,1,230,"Richmond","kickIn"
"9",261362,290847,98150101,83,1,233,"Richmond","handballEffective"
"10",290847,280819,98150101,90,1,250,"Richmond","kickEffective"
"11",261362,290032,98150101,98,1,316,"Richmond","kickEffective"
"12",270737,290671,98150101,107,1,414,"Richmond","hitout"
"13",261362,290847,98150101,125,1,448,"Richmond","kickEffective"
"14",290847,280819,98150101,127,1,450,"Richmond","kickEffective"
"15",280819,250395,98150101,129,1,459,"Richmond","kickEffective"
"16",250395,290073,98150101,131,1,461,"Richmond","handballIneffective"
"17",290073,991953,98150101,134,1,465,"Richmond","handballEffective"
"18",991953,250312,98150101,136,1,467,"Richmond","handballEffective"
"19",250312,280747,98150101,138,1,470,"Richmond","kickIneffective"
"20",291891,290671,98150101,165,1,523,"Richmond","handballEffective"
"21",250395,1000981,98150101,170,1,527,"Richmond","handballEffective"
"22",1000981,290032,98150101,173,1,529,"Richmond","kickIneffective"
"23",290032,270896,98150101,175,1,532,"Richmond","handballEffective"
"24",270896,260930,98150101,177,1,535,"Richmond","kickEffective"
"25",260930,280747,98150101,179,1,539,"Richmond","kickEffective"
"26",280747,992015,98150101,181,1,543,"Richmond","kickEffective"
"27",992015,290847,98150101,184,1,576,"Richmond","kickEffective"
"28",290847,290671,98150101,187,1,628,"Richmond","knockOnContested"
"29",290671,290847,98150101,190,1,630,"Richmond","handballEffective"
"30",290847,280747,98150101,192,1,631,"Richmond","handballEffective"
"31",280747,250395,98150101,194,1,634,"Richmond","kickEffective"
"32",280747,290847,98150101,217,1,732,"Richmond","hitout"
"33",294592,294674,98150101,277,1,973,"Richmond","kickEffective"
"34",294674,260433,98150101,280,1,977,"Richmond","handballEffective"
"35",260433,0,98150101,282,1,982,"Richmond","kickEffective"
"36",294674,250312,98150101,311,1,1065,"Richmond","handballEffective"
"37",250312,992015,98150101,313,1,1066,"Richmond","handballEffective"
"38",992015,290847,98150101,317,1,1071,"Richmond","handballEffective"
"39",290847,992015,98150101,319,1,1073,"Richmond","handballEffective"
"40",992015,270941,98150101,321,1,1075,"Richmond","kickEffective"
"41",270941,270737,98150101,324,1,1116,"Richmond","kickEffective"
"42",270737,290671,98150101,327,1,1179,"Richmond","hitout"
"43",991953,260930,98150101,402,1,1490,"Richmond","kickEffective"
"44",260930,290671,98150101,414,1,1578,"Richmond","handballEffective"
"45",290671,270896,98150101,416,1,1580,"Richmond","handballEffective"
"46",290671,290032,98150101,446,1,1721,"Richmond","handballEffective"
"47",290032,290847,98150101,449,1,1723,"Richmond","kickEffective"
"48",290847,270737,98150101,451,1,1728,"Richmond","handballEffective"
"49",290198,261362,98150101,476,1,1796,"Richmond","kickEffective"
