"","Source","Target","weight"
"1",250312,261362,1
"2",250312,270737,1
"3",250312,270896,1
"4",250312,280747,1
"5",250312,280819,1
"6",250312,290032,1
"7",250312,290198,1
"8",250312,291891,1
"9",250312,293713,2
"10",250312,294674,1
"11",250312,991953,2
"12",250312,992015,1
"13",250395,260930,2
"14",250395,261362,1
"15",250395,280747,1
"16",250395,290032,1
"17",250395,290073,3
"18",250395,290847,2
"19",250395,293713,1
"20",250395,294592,1
"21",250395,1000981,1
"22",260433,0,1
"23",260433,250312,1
"24",260433,290847,1
"25",260930,0,1
"26",260930,250395,2
"27",260930,280747,2
"28",260930,290032,1
"29",260930,290073,2
"30",260930,290671,1
"31",260930,1000981,1
"32",261362,250312,2
"33",261362,250395,1
"34",261362,270896,1
"35",261362,280819,2
"36",261362,290032,2
"37",261362,290198,1
"38",261362,290847,2
"39",261362,293713,1
"40",261362,294592,2
"41",261362,294674,4
"42",261362,991953,1
"43",261362,992015,1
"44",270737,270896,2
"45",270737,290032,2
"46",270737,290073,2
"47",270737,290671,4
"48",270737,290847,1
"49",270737,293713,2
"50",270737,294592,2
"51",270737,294674,1
"52",270896,250395,1
"53",270896,260930,2
"54",270896,261362,1
"55",270896,270737,1
"56",270896,280747,1
"57",270896,290032,1
"58",270896,290847,1
"59",270896,291891,1
"60",270896,294592,1
"61",270896,294674,1
"62",270896,991953,1
"63",270941,250395,1
"64",270941,270737,1
"65",270941,270896,1
"66",270941,290847,1
"67",270941,291891,1
"68",280747,250312,1
"69",280747,250395,3
"70",280747,290847,3
"71",280747,992015,2
"72",280747,1000981,1
"73",280819,250395,1
"74",280819,261362,1
"75",280819,270737,1
"76",280819,290847,1
"77",280819,294592,1
"78",290032,250312,1
"79",290032,250395,2
"80",290032,260930,3
"81",290032,261362,1
"82",290032,270896,2
"83",290032,280747,1
"84",290032,290073,3
"85",290032,290198,1
"86",290032,290671,1
"87",290032,290847,3
"88",290032,291891,2
"89",290032,293713,1
"90",290032,294592,1
"91",290073,250395,2
"92",290073,280747,1
"93",290073,290032,1
"94",290073,291891,2
"95",290073,991953,1
"96",290198,250312,1
"97",290198,261362,2
"98",290198,280819,2
"99",290198,290073,2
"100",290198,290671,1
"101",290198,290847,1
"102",290198,293713,3
"103",290671,270896,3
"104",290671,290032,2
"105",290671,290198,1
"106",290671,290847,2
"107",290671,293713,1
"108",290671,294592,1
"109",290671,1000981,2
"110",290847,250312,1
"111",290847,250395,1
"112",290847,270737,2
"113",290847,270941,2
"114",290847,280747,1
"115",290847,280819,2
"116",290847,290032,4
"117",290847,290671,2
"118",290847,291891,1
"119",290847,294674,1
"120",290847,991953,2
"121",290847,992015,1
"122",291891,250312,1
"123",291891,260433,1
"124",291891,261362,1
"125",291891,270896,1
"126",291891,270941,3
"127",291891,290032,1
"128",291891,290671,3
"129",291891,293713,1
"130",293713,250312,3
"131",293713,261362,1
"132",293713,270896,2
"133",293713,290032,2
"134",293713,290198,1
"135",293713,290847,1
"136",293713,291891,1
"137",293713,294592,1
"138",293713,294674,3
"139",294592,250312,1
"140",294592,250395,1
"141",294592,260433,1
"142",294592,270737,1
"143",294592,270896,1
"144",294592,270941,1
"145",294592,280747,1
"146",294592,290032,3
"147",294592,293713,1
"148",294592,294674,1
"149",294592,992015,1
"150",294674,250312,5
"151",294674,250395,1
"152",294674,260433,1
"153",294674,261362,1
"154",294674,270896,1
"155",294674,290073,1
"156",294674,290198,1
"157",294674,290671,1
"158",294674,290847,1
"159",294674,291891,2
"160",294674,991953,1
"161",294674,992015,1
"162",991953,250312,1
"163",991953,260930,1
"164",991953,270737,1
"165",991953,280747,1
"166",991953,290073,1
"167",991953,992015,1
"168",992015,270896,1
"169",992015,270941,2
"170",992015,280747,1
"171",992015,290032,1
"172",992015,290671,1
"173",992015,290847,2
"174",992015,294592,1
"175",992015,294674,1
"176",1000981,270737,1
"177",1000981,290032,1
"178",1000981,291891,1
"179",1000981,293713,1
